policy,concurrency,runs,total_useful_tokens_per_second,decode_tokens_delivered,baseline_decode_tokens_per_second,collision_decode_tokens_per_second,decode_retention_percent,prefill_tokens_per_second,prefill_tokens_completed,prefill_request_completion_percent,end_waiting_requests,decode_gap_p95_ms,decode_gap_p99_ms,prefill_ttft_p95_seconds,decode_jain_fairness
compute_share_0.4,1,2,4606.055221680033,655.0,16.162075560916144,10.887454211126226,67.3678453041719,4595.167767468907,276022.5,100.0,0.0,367.7064462273847,420.85657005372923,57.06406954916892,1.0
off,1,2,7928.221545473036,71.5,16.495654289433965,2.0588534153245206,12.484045230425167,7926.162692057712,276022.5,100.0,0.0,592.8670180757761,1077.3397808332809,32.431400358524115,1.0
compute_share_0.4,4,2,4634.116804012447,2550.5,63.6559054677374,42.45388076373648,66.69700305333694,4591.66292324871,276022.5,100.0,0.0,366.7695067313616,421.8050008246791,57.1109652679399,0.9999996627609893
off,4,2,7908.732529684425,290.5,63.150964709455266,8.323790336472928,13.183743315323195,7900.408739347953,276022.5,100.0,0.0,1026.658737582329,1120.2459911824553,32.55531452388823,0.9999741753322775
compute_share_0.4,8,2,4676.07607193327,5128.5,124.96571105614129,85.2038422586664,68.18177039791414,4590.872229674604,276022.5,100.0,0.0,370.0169808536884,427.42201853514416,57.10974020647264,0.9999998009243479
off,8,2,7886.991299576501,572.5,126.48272850453644,16.373140932140807,12.949076247241862,7870.61815864436,276022.5,100.0,0.0,1038.3967095986009,1115.3940290614264,32.68263082371122,0.9999502990699443
