profile,nominal_context_tokens,concurrency,trial_1_aggregate_tps,trial_2_aggregate_tps,mean_aggregate_tps,sample_cv_percent,population_cv_percent,sample_cv_above_2_percent,both_cv_conventions_above_2_percent,request_errors,underfilled_trials
control-mtp0,0,1,16.5362238252165,16.425942719056184,16.481083272136342,0.47315165341436943,0.3345687426589277,False,False,0,0
control-mtp0,0,4,64.39259241892198,64.01596495675915,64.20427868784057,0.41479452447591075,0.29330402105596587,False,False,0,0
control-mtp0,0,8,127.86912085524503,128.9894347602177,128.42927780773135,0.6168231829892542,0.4361598554847724,False,False,0,0
control-mtp0,32768,1,16.439951411792276,16.24231573612063,16.341133573956455,0.8552009310696161,0.6047183776363748,False,False,0,0
control-mtp0,32768,4,64.0467222219101,64.52250828579929,64.2846152538547,0.5233469172080447,0.37006215407088316,False,False,0,0
control-mtp0,32768,8,127.7662412568029,126.91305805620921,127.33964965650605,0.47376573468012334,0.3350029636861419,False,False,0,0
control-mtp0,131072,1,16.47043701652819,16.394504404240166,16.43247071038418,0.32674614796751933,0.231044416954416,False,False,0,0
control-mtp0,131072,4,64.30380053673109,64.35049913065725,64.32714983369416,0.05133274600606177,0.03629773279781294,False,False,0,0
control-mtp0,131072,8,128.69144483530388,128.6343076831889,128.6628762592464,0.031401495826029434,0.022204210637986478,False,False,0,0
candidate-mtp0,0,1,16.334043831577425,16.067262881734358,16.20065335665589,1.1644136478478433,0.8233647864993746,False,False,0,0
candidate-mtp0,0,4,64.36088525902498,64.32328638325176,64.34208582113837,0.04132041988527694,0.029217949102354788,False,False,0,0
candidate-mtp0,0,8,127.92449488184849,128.4188765864852,128.17168573416683,0.27274405719233946,0.19285917236903477,False,False,0,0
candidate-mtp0,32768,1,16.43487950706088,16.551549585554312,16.4932145463076,0.5001948130405015,0.353691144215276,False,False,0,0
candidate-mtp0,32768,4,64.39664660639252,62.38703418804065,63.39184039721658,2.241630089407688,1.5850718371319832,True,False,0,0
candidate-mtp0,32768,8,129.2839865550042,127.60200572066853,128.44299613783636,0.9259672302475984,0.654757707664602,False,False,0,0
candidate-mtp0,131072,1,16.511111634699407,16.475161439664657,16.493136537182032,0.1541285166514148,0.1089853192984391,False,False,0,0
candidate-mtp0,131072,4,64.41612965248838,64.34275595769753,64.37944280509296,0.08058944732465823,0.0569853446953419,False,False,0,0
candidate-mtp0,131072,8,126.79002035987791,127.65208356489916,127.22105196238854,0.47914297883823737,0.3388052494944401,False,False,0,0
candidate-mtp3,0,1,31.75610726426422,31.416366900903185,31.5862370825837,0.760561361415953,0.537798096165693,False,False,0,0
candidate-mtp3,0,4,121.6390159972383,129.7825779306635,125.71079696395091,4.580647012991951,3.239006565108512,True,True,0,0
candidate-mtp3,0,8,223.52694508074646,224.0118665722748,223.76940582651065,0.1532342072126871,0.10835294702983561,False,False,0,0
candidate-mtp3,32768,1,32.275504434522155,32.0141933838049,32.14484890916353,0.5748193636974231,0.40645867002778424,False,False,0,0
candidate-mtp3,32768,4,126.80074557448927,126.12961088406014,126.4651782292747,0.3752526168362418,0.26534367002290377,False,False,0,0
candidate-mtp3,32768,8,226.60598699675427,224.54341371647476,225.57470035661453,0.6465528052898312,0.4571818730156251,False,False,0,0
candidate-mtp3,131072,1,31.29483865251622,31.41226611519031,31.353552383853263,0.26483045409916917,0.1872634099582352,False,False,0,0
candidate-mtp3,131072,4,128.63018991431306,128.5659707453975,128.5980803298553,0.03531142121708809,0.024968945395937525,False,False,0,0
candidate-mtp3,131072,8,224.44947419298876,231.74808856739568,228.09878138019224,2.2625722444376515,1.59988017696633,True,False,0,0
candidate-dflash2,0,1,32.94881784658316,33.70892180970137,33.32886982814227,1.6126399409854082,1.140308637883056,False,False,0,0
candidate-dflash2,0,4,115.55314348133324,112.93964588078984,114.24639468106153,1.617575662775248,1.1437987202307018,False,False,0,0
candidate-dflash2,0,8,227.39881238152185,227.54042154471986,227.46961696312087,0.04402029638608891,0.03112705008444514,False,False,0,0
candidate-dflash2,32768,1,31.269515644748967,31.66900150099047,31.46925857286972,0.8976352502311912,0.6347239724705588,False,False,0,0
candidate-dflash2,32768,4,121.60711581060545,114.24017851985312,117.92364716522928,4.417444202321961,3.123604750975058,True,True,0,0
candidate-dflash2,32768,8,237.48525489318456,238.9799529493013,238.2326039212429,0.4436467191769835,0.313705603581209,False,False,0,0
candidate-dflash2,131072,1,32.102554176915994,31.782420761657953,31.942487469286974,0.7086752684211765,0.5011090879598107,False,False,0,0
candidate-dflash2,131072,4,121.76651479532667,120.45817983051205,121.11234731291935,0.7638630958853477,0.5401327749986794,False,False,0,0
candidate-dflash2,131072,8,237.9474944673999,237.46133389928195,237.70441418334093,0.1446197100052848,0.10226157763796888,False,False,0,0
